Position,Instructions,Size,Priority,Working Class
1,498.0004204,361,1,30
1,332.7060975,270,2,26
1,8.763121362,103,2,26
1,505.3379789,271,2,26
1,679.6541403,243,2,26
1,504.5865213,15,2,26
1,111.8795632,53,2,26
1,160.8148497,306,2,26
1,267.4616148,10,2,26
1,80.6435349,73,2,26
1,753.6441947,45,2,26
1,625.5730612,236,2,26
1,202.2749477,278,2,26
1,1.085644111,121,2,26
1,403.0295751,129,2,26
1,238.4867418,383,2,26
1,327.0331428,329,2,26
1,531.0548851,247,2,26
1,477.1425215,197,2,26
1,31.0616279,264,2,26
1,695.3155881,387,2,26
1,248.7197774,265,2,26
1,336.6384891,23,2,26
1,538.6043637,171,2,26
1,187.6054328,47,2,26
1,469.4973091,137,2,26
1,677.6215585,361,2,26
1,439.1717636,325,2,26
1,295.9953042,52,2,26
1,607.1614245,124,2,26
1,133.7197722,349,2,26
1,305.5412806,37,2,26
1,222.6456424,190,2,26
1,408.4742494,292,2,26
1,257.7858858,147,2,26
1,107.9057017,302,2,26
1,695.8494695,294,2,26
1,724.4064581,68,2,26
1,536.474571,399,2,26
1,349.7999549,306,2,26
1,523.651639,344,2,26
1,293.0551341,341,2,26
1,349.2158216,298,2,26
1,112.4271246,325,2,26
1,337.7733838,298,3,33
1,458.1280364,45,3,33
1,191.6628132,289,3,33
1,552.3944544,47,3,33
1,570.0482853,176,3,33
1,228.800564,19,3,33
1,72.31520076,338,3,33
1,66.16931793,261,3,33
1,405.160899,174,3,33
1,385.7748306,139,3,33
1,386.1595145,69,3,33
1,37.66921023,111,3,33
1,181.3250607,226,3,33
1,178.9475697,159,3,33
1,123.6839876,311,3,33
1,582.3294826,272,3,33
1,541.1015436,198,3,33
1,591.0811761,80,3,33
1,754.9981534,100,3,33
1,313.1676012,206,3,33
1,0.460138076,165,3,33
1,572.3722388,136,3,33
1,220.3199626,121,3,33
1,253.0972478,397,3,33
1,259.668172,339,3,33
1,746.4411174,315,3,33
1,131.4270647,288,3,33
1,420.469711,172,3,33
1,24.88209706,258,1,30
1,508.3040039,397,1,30
1,705.7048681,112,1,30
1,264.1998528,39,1,30
1,550.6500126,88,1,30
1,250.4671473,298,1,30
1,408.8038123,327,1,30
1,91.78028806,267,1,30
1,195.5807856,292,1,30
1,51.5826154,188,1,30
1,56.95626898,23,1,30
1,358.0075917,362,1,30
1,148.7286653,134,1,30
1,587.8381923,336,1,30
1,500.969854,47,1,30
1,215.8063932,333,1,30
1,723.1761861,312,1,30
1,313.7543593,395,2,26
1,490.1051285,237,2,26
1,682.1144462,323,2,26
1,292.4846126,59,2,26
1,15.72871052,229,2,26
1,424.7020124,266,2,26
1,54.00421579,42,2,26
